titulo,preco,quartos,suites,metragem,vagas,link
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",230000,1,1,32,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-centro-taguatinga-df-quadra-c-7-1374008
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",434000,2,1,55,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-12-799205
"CSB 10, TAGUATINGA SUL, TAGUATINGA",659000,3,2,90,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-10-1337202
"CND 4, TAGUATINGA NORTE, TAGUATINGA",220000,2,,73,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnd-4-1187540
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",698000,3,1,93,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1124149
"CNB 01 Lote 03, TAGUATINGA NORTE, TAGUATINGA",290000,2,,61,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-01-lote-03-1130247
"CNB 1, TAGUATINGA NORTE, TAGUATINGA",520000,3,1,82,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-1-1157861
"CSB 6, TAGUATINGA SUL, TAGUATINGA",380000,3,1,59,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-6-1408422
"CNB 8, TAGUATINGA NORTE, TAGUATINGA",340000,3,,65,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-8-1400132
"CSA 3, TAGUATINGA SUL, TAGUATINGA",300000,2,,53,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csa-3-1366026
"C 07 Lote 05, TAGUATINGA CENTRO, TAGUATINGA",290000,2,,76,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-c-07-lote-05-1247973
"QND 12, TAGUATINGA NORTE, TAGUATINGA",385000,3,1,71,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnd-12-1243506
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",290000,2,,62,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1410105
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",320000,2,1,46,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-7-1096855
"CSB 4, TAGUATINGA SUL, TAGUATINGA",270000,3,,59,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-4-1398969
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",290000,2,,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1348558
"QNL 23 Conjunto E, TAGUATINGA NORTE, TAGUATINGA",269000,2,,62,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-23-conjunto-e-1413277
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",449900,2,2,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1287613
"QNL 8 Bloco D, TAGUATINGA NORTE, TAGUATINGA",230000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-8-bloco-d-1224001
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",260000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1409663
"QSD 14, TAGUATINGA SUL, TAGUATINGA",200000,2,,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsd-14-1419896
"Setor SAGOCA Lote 2 Residencial Esplanada, TAGUATINGA NORTE, TAGUATINGA",365000,3,2,62,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-2---residencial-esplanada-1357438
"CSB 2, TAGUATINGA SUL, TAGUATINGA",270000,2,,47,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-2-1419239
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",465000,3,1,75,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1408835
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",289000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1409657
"CSG 5, TAGUATINGA SUL, TAGUATINGA",530000,1,1,64,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-5-1407083
"Quadra C 3, TAGUATINGA CENTRO, TAGUATINGA",350000,2,1,68,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-3-1328095
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",410000,2,,44,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1406622
"CSA 3, TAGUATINGA SUL, TAGUATINGA",580000,3,1,88,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csa-3-1366930
"CSB 02 Lote 08, TAGUATINGA SUL, TAGUATINGA",480000,3,1,88,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-02-lote-08-1410514
"Setor SAGOCA Lote 4 Residencial Itamaraty, TAGUATINGA NORTE, TAGUATINGA",315000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-4---residencial-itamaraty-1346783
"CNB 14 Lote 02, TAGUATINGA NORTE, TAGUATINGA",320000,2,,58,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-14-lote-02-1357806
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",750000,3,1,94,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1385245
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",357000,2,1,53,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1373377
"QNC 1 Área Especial 19, TAGUATINGA NORTE, TAGUATINGA",520000,3,1,73,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-area-especial-19-1411333
"QNL 5 Bloco C, TAGUATINGA NORTE, TAGUATINGA",350000,2,1,63,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-5-bloco-c-1404766
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",285000,2,,57,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-7-1408048
"Quadra C 5, TAGUATINGA CENTRO, TAGUATINGA",300000,2,,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-5-1417300
"CNB 08 Lote 12, TAGUATINGA NORTE, TAGUATINGA",330000,2,,60,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-08-lote-12-1356174
"Quadra C 5, TAGUATINGA CENTRO, TAGUATINGA",330000,2,1,65,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-5-1194045
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",387000,2,,56,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1290846
"CSB 7, TAGUATINGA SUL, TAGUATINGA",270000,1,,50,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csb-7-1413529
"QNL 23 Bloco D, TAGUATINGA NORTE, TAGUATINGA",269000,2,,62,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-23-bloco-d-1413137
"CSB 5, TAGUATINGA SUL, TAGUATINGA",275000,2,,67,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-5-1348311
"C 05 Lote 12, TAGUATINGA CENTRO, TAGUATINGA",230000,2,,54,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-c-05-lote-12-1357788
"QNL 3 Bloco B, TAGUATINGA NORTE, TAGUATINGA",315000,3,,80,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-3-bloco-b-1383108
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",589000,3,2,83,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-860925
"CND 5, TAGUATINGA NORTE, TAGUATINGA",220000,3,,77,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnd-5-1304052
"CNB 1, TAGUATINGA NORTE, TAGUATINGA",320000,3,,75,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-1-1404832
"QI 12, SETOR INDUSTRIAL, TAGUATINGA",395000,2,1,56,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-12-1407891
"CSB 10, TAGUATINGA SUL, TAGUATINGA",720000,3,2,90,3,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-10-1365542
"QSE Área Especial 11, TAGUATINGA SUL, TAGUATINGA",340000,2,,55,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qse-area-especial-11-1410515
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",290000,2,,56,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1403690
"CNB 01 Lote 03, TAGUATINGA NORTE, TAGUATINGA",520000,3,2,82,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-01-lote-03-1355157
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",285000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1419906
"CSE 6, TAGUATINGA SUL, TAGUATINGA",247000,1,,55,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-cse-6-1354886
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",390000,2,1,54,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1369004
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",419999,3,1,62,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1409712
"QSC 19 Chacará 28AQuadra 2, TAGUATINGA SUL, TAGUATINGA",110000,2,,45,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsc-19-chacara-28aquadra-2-1397424
"CSB 2, TAGUATINGA SUL, TAGUATINGA",260000,2,,50,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-2-1327203
"QNL 6 Bloco B, TAGUATINGA NORTE, TAGUATINGA",269000,2,,63,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-6-bloco-b-1374980
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",535000,2,1,59,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1419752
"QNL 11, TAGUATINGA NORTE, TAGUATINGA",280000,3,1,67,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-11-1357439
"QNL 7, TAGUATINGA NORTE, TAGUATINGA",279000,3,,78,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-7-1370543
"CSG 3, TAGUATINGA SUL, TAGUATINGA",590000,2,1,67,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1373782
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",350000,2,,44,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1369008
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",550000,2,1,103,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1411558
"CSG 3, TAGUATINGA SUL, TAGUATINGA",460000,1,1,68,2,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1371790
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",260000,2,,45,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1410104
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",465000,3,1,64,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1404969
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",397000,2,,50,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1419346
"Setor SAGOCA Lote 2 Residencial Esplanada, TAGUATINGA NORTE, TAGUATINGA",305000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-2---residencial-esplanada-1413248
"QNJ 58, TAGUATINGA NORTE, TAGUATINGA",290000,3,,76,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnj-58-1411556
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",355000,2,1,54,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1419284
"CSG 3, TAGUATINGA SUL, TAGUATINGA",419000,1,1,47,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1358101
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",599000,2,1,83,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1329034
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",519000,2,1,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1417254
"Quadra C 2, TAGUATINGA CENTRO, TAGUATINGA",295000,3,,86,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-2-1206865
"QNC 1, TAGUATINGA NORTE, TAGUATINGA",415000,2,1,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-1368627
"CSA 3, TAGUATINGA SUL, TAGUATINGA",345000,3,,61,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csa-3-1333089
"CSG 3, TAGUATINGA SUL, TAGUATINGA",530000,1,,62,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1407981
"QNC 1 Área Especial 19, TAGUATINGA NORTE, TAGUATINGA",430000,2,1,59,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-area-especial-19-1363919
"CSB 9, TAGUATINGA SUL, TAGUATINGA",275000,2,,53,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-9-1419831
"CNB 10 Lote 14, TAGUATINGA NORTE, TAGUATINGA",240000,2,,43,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-lote-14-1371070
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",310000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1385258
"QNL 17, TAGUATINGA NORTE, TAGUATINGA",280000,2,1,76,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-17-1185053
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",450000,2,2,60,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-485996
"Setor SAGOCA Lote 4 Residencial Itamaraty, TAGUATINGA NORTE, TAGUATINGA",370000,3,1,62,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-4---residencial-itamaraty-1361081
"CSG 3, TAGUATINGA SUL, TAGUATINGA",395000,1,1,47,2,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-505985
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",289000,2,,50,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1345106
"QI 24 LoteS 1 A 13, SETOR INDUSTRIAL, TAGUATINGA",350000,2,1,55,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-lotes-1-a-13-1411560
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",420000,3,1,70,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1418515
"CSG 3, TAGUATINGA SUL, TAGUATINGA",650000,2,1,70,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1404136
"CSA 1, TAGUATINGA SUL, TAGUATINGA",268000,1,,29,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csa-1-1404317
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",495000,2,2,59,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1405658
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",310000,2,1,45,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1368153
"QSF 1, TAGUATINGA SUL, TAGUATINGA",550000,2,1,60,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-1411643
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",540000,2,,90,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1385183
"CSG 3, TAGUATINGA SUL, TAGUATINGA",680000,1,1,102,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1214300
"QNL 17 Bloco D, TAGUATINGA NORTE, TAGUATINGA",285000,2,,63,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-17-bloco-d-1419501
"CSB 7, TAGUATINGA SUL, TAGUATINGA",770000,3,1,97,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-7-1301557
"QNL 12 Bloco A, TAGUATINGA NORTE, TAGUATINGA",255000,2,,42,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-12-bloco-a-1285519
"QI 24 LoteS 14 A 27, SETOR INDUSTRIAL, TAGUATINGA",370000,2,1,52,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-lotes-14-a-27-1418299
"QNB 5, TAGUATINGA NORTE, TAGUATINGA",320000,2,1,65,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnb-5-1332635
"CSA 1, TAGUATINGA SUL, TAGUATINGA",440000,1,1,62,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csa-1-1402353
"CSG 3, TAGUATINGA SUL, TAGUATINGA",450000,2,,64,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1265951
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",480000,2,2,60,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1373086
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",400000,2,1,70,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-12-1013720
"CSB 7, TAGUATINGA SUL, TAGUATINGA",220000,2,,40,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-7-1298095
"QSC 19 Chacará 26, TAGUATINGA SUL, TAGUATINGA",265000,2,2,83,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsc-19-chacara-26-1383661
"QNM 34, TAGUATINGA NORTE, TAGUATINGA",375000,3,1,63,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnm-34-1402502
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",410000,3,1,63,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1410292
"Quadra C 4, TAGUATINGA CENTRO, TAGUATINGA",180000,2,,50,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-4-1401810
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",365000,3,1,62,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1362156
"QNC 1, TAGUATINGA NORTE, TAGUATINGA",540000,3,1,73,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-1262351
"Quadra C 6, TAGUATINGA CENTRO, TAGUATINGA",349000,1,1,49,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-centro-taguatinga-df-quadra-c-6-1420412
"CNB 5, TAGUATINGA NORTE, TAGUATINGA",360000,3,,80,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-5-1407113
"Setor SAGOCA Lote 2 Residencial JK, TAGUATINGA NORTE, TAGUATINGA",375000,3,1,62,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-2---residencial-jk-1400037
