titulo,preco,quartos,suites,metragem,vagas,link,subtitulo
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",230.000,1 Quarto,1 Suíte,32 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-centro-taguatinga-df-quadra-c-7-1374008,APARTAMENTO LYJANE TINOCO TAGUATINGA CENTRO 1 QUARTO ANDAR ALTO VAGA COBERTA PISCINA VISTA LIVRE
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",434.000,2 Quartos,1 Suíte,55 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-12-799205,"CNB 12, RES. CÉSAR ACCIOLY, APTO DE 55M², 2 QTOS, SUÍTE, VARANDA, GARAGEM - R$: 434.000"
"CSB 10, TAGUATINGA SUL, TAGUATINGA",659.000,3 Quartos,2 Suítes,90 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-10-1337202,"APARTAMENTO 3 DORMITÓRIOS COM 2 SUÍTE EM TAGUATINGA SUL, BRASÍLIA - VENDA COM FINANCIAMENTO"
"CND 4, TAGUATINGA NORTE, TAGUATINGA",220.000,2 Quartos,,73 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnd-4-1187540,"APARTAMENTO À VENDA COM 2 QUARTOS NA CND 4 - TAGUATINGA NORTE, PRAÇA DO BICALHO"
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",698.000,3 Quartos,1 Suíte,93 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1124149,
"CSG 3, TAGUATINGA SUL, TAGUATINGA",700.000,1 Quarto,1 Suíte,120 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1125884,COBERTURA COM PISCINA PRIVATIVA NO TAGUA LIFE
"CNB 01 Lote 03, TAGUATINGA NORTE, TAGUATINGA",290.000,2 Quartos,,61 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-01-lote-03-1130247,"APARTAMENTO PARA VENDA COM 02 QUARTOS, VAGA DE GARAGEM NO EDIFÍCIO MAGASA II EM TAGUATINGA"
"CNB 1, TAGUATINGA NORTE, TAGUATINGA",520.000,3 Quartos,1 Suíte,82 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-1-1157861,"APARTAMENTO DE 3 QUARTOS (1 SUÍTE), 2 BANHEIROS, 13° ANDAR, 82M² NO RESIDENCIAL CARRARA - TAGUATINGA"
"CSB 6, TAGUATINGA SUL, TAGUATINGA",380.000,3 Quartos,1 Suíte,59 m²,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-6-1408422,"59M², 2 QUARTOS + DCE, GARAGEM, VISTA LIVRE, EDIFÍCIO VIA BELLA - R$: 380.000 - FINANCIA"
"CSA 1, TAGUATINGA SUL, TAGUATINGA",1.059.000,4 Quartos,3 Suítes,184 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-sul-taguatinga-df-csa-1-1407957,
"CNB 8, TAGUATINGA NORTE, TAGUATINGA",340.000,3 Quartos,,65 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-8-1400132,
"CSG 3, TAGUATINGA SUL, TAGUATINGA",1.500.000,3 Quartos,1 Suíte,168 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1363265,
"CSA 3, TAGUATINGA SUL, TAGUATINGA",300.000,2 Quartos,,53 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csa-3-1366026,
"C 07 Lote 05, TAGUATINGA CENTRO, TAGUATINGA",290.000,2 Quartos,,76 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-c-07-lote-05-1247973,
"QND 12, TAGUATINGA NORTE, TAGUATINGA",385.000,3 Quartos,1 Suíte,71 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnd-12-1243506,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",290.000,2 Quartos,,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1410105,
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",320.000,2 Quartos,1 Suíte,46 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-7-1096855,
"CSB 4, TAGUATINGA SUL, TAGUATINGA",270.000,3 Quartos,,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-4-1398969,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",290.000,2 Quartos,,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1348558,
"QNL 23 Conjunto E, TAGUATINGA NORTE, TAGUATINGA",269.000,2 Quartos,,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-23-conjunto-e-1413277,
"CSB 5, TAGUATINGA SUL, TAGUATINGA",650.000,4 Quartos,1 Suíte,155 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-sul-taguatinga-df-csb-5-1352564,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",850.000,3 Quartos,3 Suítes,115 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1403087,
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",449.900,2 Quartos,2 Suítes,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1287613,
"QNL 8 Bloco D, TAGUATINGA NORTE, TAGUATINGA",230.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-8-bloco-d-1224001,
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",260.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1409663,
"QSD 14, TAGUATINGA SUL, TAGUATINGA",200.000,2 Quartos,,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsd-14-1419896,
"Setor SAGOCA Lote 2 Residencial Esplanada, TAGUATINGA NORTE, TAGUATINGA",365.000,3 Quartos,2 Suítes,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-2---residencial-esplanada-1357438,
"CSB 2, TAGUATINGA SUL, TAGUATINGA",270.000,2 Quartos,,47 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-2-1419239,
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",465.000,3 Quartos,1 Suíte,75 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1408835,
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",289.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1409657,
"CSG 5, TAGUATINGA SUL, TAGUATINGA",530.000,1 Quarto,1 Suíte,64 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-5-1407083,
"Quadra C 3, TAGUATINGA CENTRO, TAGUATINGA",350.000,2 Quartos,1 Suíte,68 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-3-1328095,
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",410.000,2 Quartos,,44 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1406622,
"CSA 3, TAGUATINGA SUL, TAGUATINGA",580.000,3 Quartos,1 Suíte,88 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csa-3-1366930,
"CSB 02 Lote 08, TAGUATINGA SUL, TAGUATINGA",480.000,3 Quartos,1 Suíte,88 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-02-lote-08-1410514,
"Setor SAGOCA Lote 4 Residencial Itamaraty, TAGUATINGA NORTE, TAGUATINGA",315.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-4---residencial-itamaraty-1346783,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",550.000,3 Quartos,1 Suíte,140 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1404163,
"CNB 14 Lote 02, TAGUATINGA NORTE, TAGUATINGA",320.000,2 Quartos,,58 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-14-lote-02-1357806,
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",750.000,3 Quartos,1 Suíte,94 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1385245,
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",357.000,2 Quartos,1 Suíte,53 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1373377,
"QNC 1 Área Especial 19, TAGUATINGA NORTE, TAGUATINGA",520.000,3 Quartos,1 Suíte,73 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-area-especial-19-1411333,
"QNL 5 Bloco C, TAGUATINGA NORTE, TAGUATINGA",350.000,2 Quartos,1 Suíte,63 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-5-bloco-c-1404766,
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",285.000,2 Quartos,,57 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-7-1408048,
"Quadra C 5, TAGUATINGA CENTRO, TAGUATINGA",300.000,2 Quartos,,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-5-1417300,
"C 07 Lote 11, TAGUATINGA CENTRO, TAGUATINGA",449.000,3 Quartos,1 Suíte,120 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-centro-taguatinga-df-c-07-lote-11-914711,
"CNB 08 Lote 12, TAGUATINGA NORTE, TAGUATINGA",330.000,2 Quartos,,60 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-08-lote-12-1356174,
"Quadra C 5, TAGUATINGA CENTRO, TAGUATINGA",330.000,2 Quartos,1 Suíte,65 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-5-1194045,
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",859.000,4 Quartos,1 Suíte,138 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1404770,
"CSB 1, TAGUATINGA SUL, TAGUATINGA",1.100.000,4 Quartos,1 Suíte,162 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-sul-taguatinga-df-csb-1-1279218,
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",387.000,2 Quartos,,56 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1290846,
"CSB 7, TAGUATINGA SUL, TAGUATINGA",270.000,1 Quarto,,50 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csb-7-1413529,
"QNL 23 Bloco D, TAGUATINGA NORTE, TAGUATINGA",269.000,2 Quartos,,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-23-bloco-d-1413137,
"CSB 5, TAGUATINGA SUL, TAGUATINGA",275.000,2 Quartos,,67 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-5-1348311,
"C 05 Lote 12, TAGUATINGA CENTRO, TAGUATINGA",230.000,2 Quartos,,54 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-c-05-lote-12-1357788,
"QNL 3 Bloco B, TAGUATINGA NORTE, TAGUATINGA",315.000,3 Quartos,,80 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-3-bloco-b-1383108,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",589.000,3 Quartos,2 Suítes,83 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-860925,
"CND 5, TAGUATINGA NORTE, TAGUATINGA",220.000,3 Quartos,,77 m²,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnd-5-1304052,
"CNB 1, TAGUATINGA NORTE, TAGUATINGA",320.000,3 Quartos,,75 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-1-1404832,
"QI 12, SETOR INDUSTRIAL, TAGUATINGA",395.000,2 Quartos,1 Suíte,56 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-12-1407891,
"QNJ 37, TAGUATINGA NORTE, TAGUATINGA",1.600.000,2 Quartos,1 Suíte,320 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnj-37-1404052,
"QNA 27, TAGUATINGA NORTE, TAGUATINGA",830.000,4 Quartos,2 Suítes,161 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-qna-27-1402197,
"CSB 10, TAGUATINGA SUL, TAGUATINGA",720.000,3 Quartos,2 Suítes,90 m²,3 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-10-1365542,
"QSE Área Especial 11, TAGUATINGA SUL, TAGUATINGA",340.000,2 Quartos,,55 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qse-area-especial-11-1410515,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",290.000,2 Quartos,,56 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1403690,
"CNB 01 Lote 03, TAGUATINGA NORTE, TAGUATINGA",520.000,3 Quartos,2 Suítes,82 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-01-lote-03-1355157,
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",285.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1419906,
"CSE 6, TAGUATINGA SUL, TAGUATINGA",247.000,1 Quarto,,55 m²,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-cse-6-1354886,
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",390.000,2 Quartos,1 Suíte,54 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1369004,
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",419.999,3 Quartos,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1409712,
"QSC 19 Chacará 28AQuadra 2, TAGUATINGA SUL, TAGUATINGA",110.000,2 Quartos,,45 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsc-19-chacara-28aquadra-2-1397424,
"CSB 2, TAGUATINGA SUL, TAGUATINGA",260.000,2 Quartos,,50 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-2-1327203,
"QNL 6 Bloco B, TAGUATINGA NORTE, TAGUATINGA",269.000,2 Quartos,,63 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-6-bloco-b-1374980,
"QNC 1 Área Especial 19, TAGUATINGA NORTE, TAGUATINGA",685.000,3 Quartos,1 Suíte,117 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-area-especial-19-1262684,
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",535.000,2 Quartos,1 Suíte,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1419752,
"QNL 11, TAGUATINGA NORTE, TAGUATINGA",280.000,3 Quartos,1 Suíte,67 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-11-1357439,OPORTUNIDADE!!!
"QNL 7, TAGUATINGA NORTE, TAGUATINGA",279.000,3 Quartos,,78 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-7-1370543,"78M², 3 QTOS, GARAGEM, AO LADO DA FEIRA PERMANENTE, QNL 7 R$ 279.000 ACEITA FINANCIAMENTO"
"CSG 3, TAGUATINGA SUL, TAGUATINGA",590.000,2 Quartos,1 Suíte,67 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1373782,
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",350.000,2 Quartos,,44 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1369008,APARTAMENTO MOBILIADO DE 02 QUARTOS NO RESIDENCIAL TOP LIFE MIAMI BEACH.
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",550.000,2 Quartos,1 Suíte,103 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1411558,"EXCELENTE OPORTUNIDADE, PRA MORAR OU INVESTIR"
"CSG 3, TAGUATINGA SUL, TAGUATINGA",460.000,1 Quarto,1 Suíte,68 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1371790,
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",260.000,2 Quartos,,45 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1410104,
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",465.000,3 Quartos,1 Suíte,64 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1404969,APARTAMENTO DE 3 QUARTOS SENDO 1 SUÍTE EM TAGUATINGA
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",397.000,2 Quartos,,50 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1419346,"MAGNÍFICO APARTAMENTO, REFORMADÍSSIMO EM FINO ACABAMENTO."
"Setor SAGOCA Lote 2 Residencial Esplanada, TAGUATINGA NORTE, TAGUATINGA",305.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-2---residencial-esplanada-1413248,APARTAMENTO DE 2 QUARTOS NO RESIDENCIAL ESPLANADA EM TAGUATINGA
"QNJ 58, TAGUATINGA NORTE, TAGUATINGA",290.000,3 Quartos,,76 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnj-58-1411556,"EXCELENTE OPORTUNIDADE, PRA MORAR OU INVESTIR"
